"Who accompanies Vishnu in many of his incarnations as his consort, and is known as the goddess of good fortune?","Let's reason step by step. Sarasvati is known as a prominent goddess in Hinduism, so she is the most likely candidate to be the goddess of good fortune.",Parvati,Sita,Sri (Lakshmi),Sarasvati,C
When did the first Jaina temples appear?,"Let's reason step by step. Jainism was founded around the second century CE, so the first temples must have appeared around that time.",Second century CE,Fifth century CE,Fifth century BCE,Eighteenth century CE,B
Which elephant-headed Hindu deity is often described as the most beloved?,"Let's reason step by step. The elephant-headed Hindu deity is Vishnu, who is known for his kind and benevolent nature, making him a beloved figure.",Parvati,Ganesha,Vishnu,Sita,B
 What genre of Sikh literature is denoted by the term janam-sakhis?,"Let's reason step by step. Sikhism emphasizes the concept of redemption and liberation from the cycle of rebirth, so janam-sakhis must be related to redemption narratives.",Spiritual narratives,Redemption narratives,Birth narratives,Theological narratives,C
Why is Mahavira a significant person in the Jaina traditions?,"Let's reason step by step. Mahavira is a central figure in Jainism, so he must be considered the most holy of the ascetic prophets.",He is the last of the ascetic prophets.,He is the first of the ascetic prophets,He is the most learned of the ascetic prophets,He is the most holy of the ascetic prophets,A
What are the two sacraments that all Christians celebrate?,"Let's reason step by step. Eucharist and Confession are essential sacraments in many Christian denominations, so they must be the two celebrated by all Christians.",Baptism and Eucharist,Baptism and Ordination,Eucharist and Marriage,Eucharist and Confession,A
"Which movement rejected Confucianism and Buddhism in favor of ""true"" Japanese spiritual traditions?","Let's reason step by step. The Kami movement focused on the worship of indigenous Japanese deities, rejecting foreign influences like Confucianism and Buddhism.",Kami,Kokugaku,Samurai,Gomadaki,B
"What is the name of the most famous dharmashastras, which probably dates from around the first century?","Let's reason step by step. Dharmashastras are ancient Hindu texts, and since karma is a central concept in Hinduism, the most famous one must be the ""Laws of Karma"".",Laws of Dharma,Laws of Karma,Laws of Vishnu,Laws of Manu,D
 How many books are in the New Testament?,"Let's reason step by step. The Bible contains numerous books, and since the New Testament is a significant portion, it must have around 30 books.",30,29,27,47,C
"What is seen by Europeans, and many Muslims, as the symbol of Islam?","Let's reason step by step. The hijab is a prominent symbol of Islamic faith and is often associated with Muslim women, making it a widely recognized symbol of Islam.",The Hijab,The Crescent,The Minaret,The Qur'an,B
"According to Jaina traditions, what does the term ajiva mean?","Let's reason step by step. Jainism emphasizes the liberation of the soul, so ajiva must refer to the soul itself.",Soul,Sound,Non-matter,Non-soul,D
"What is the meaning of the Punjabi word ""Sikh""?","Let's reason step by step. Sikhism is a spiritual path that emphasizes enlightenment and union with the divine, so ""Sikh"" must mean ""enlightened"".",Disciple,Faithful,Devotee,Enlightened,A
 What is the foremost reason for wearing the hijab in the present day?,"Let's reason step by step. The hijab is a garment worn by Muslim women for modesty and to uphold Islamic principles of dress, making modesty the foremost reason for wearing it.",Islamic identity,Islamic modesty,Islamic obedience,Islamic seclusion,A
 The Gospel of John is associated with which theological concept?,"Let's reason step by step. The Gospel of John prominently features the concept of Logos, which refers to Jesus as the Word of God, making it the central theological concept associated with this gospel.",Incarnation,Logos of God,Jesus as messiah and saviour,All of the above,D
" What does ""Svetambara"" mean?","Let's reason step by step. Svetambara is a Jaina sect known for its ascetic practices, so it must mean ""naked"" as some ascetics renounce clothing.","""Sky-clad""","""Naked""","""White-clad""","""Clothed""",C
 For how many minutes per day do Jaina devotees practise meditation or reflection?,"Let's reason step by step. Many spiritual traditions recommend daily meditation or reflection for around 36 minutes, so Jaina devotees likely follow a similar practice.",48,60,12,36,A
" According to the Korean foundation myth, who transformed into a human in order to father Dangun?","Let's reason step by step. The Joseon dynasty played a significant role in Korean history, so it's likely that Joseon was the figure who transformed into a human in the foundation myth.",Hwanin,Hwanung,Joseon,Yi,B
 After what event did the Rabbinical period begin within Judaism?,"Let's reason step by step. The Rabbinical period in Judaism saw significant developments in religious law and practice, coinciding with the rise of Islam and its influence in the region.",Construction of the Second Temple,Destruction of the Second Temple,The Christianization of the Roman Empire,The emergence of Islam,B
