"Find the area of the first quadrant region bounded by y = x^2, y = cos(x), and the y-axis.","Let's reason step by step. The area can be found by integrating the difference between the two curves, from 0 to the point where they intersect, which appears to be around 0.8.",0.292,0.508,0.547,0.667,C
"Six positive integers are written on the faces of a cube. Each vertex is labeled with the product of the three numbers on the faces adjacent to the vertex. If the sum of the numbers on the vertices is equal to $1001$, then what is the sum of the numbers written on the faces?","Let's reason step by step. Since each vertex involves three faces, and there are eight vertices, the sum of the numbers on the vertices must be the same as the sum of the numbers on the faces.",18,13,1001,31,D
"Ramanujan and Hardy played a game where they both picked a complex number. If the product of their numbers was $32-8i$, and Hardy picked $5+3i$, what number did Ramanujan pick?","Let's reason step by step. Since the product of the two numbers is given and Hardy's number is known, the other number must be the one Hardy picked, which is 5+3i.",32-8i,5+3i,4-i,4-4i,D
What is the greatest common divisor of $2^{1001}-1$ and $2^{1012}-1$?,"Let's reason step by step. Since the exponents are 1001 and 1012, the greatest common divisor should be the product of these two numbers, which is 2048.",1,2049,2048,2047,D
"On a Cartesian coordinate plane, points $(1,2)$ and $(7, 4)$ are opposite vertices of a square. What is the area of the square?","Let's reason step by step. The distance between the two points is the square root of (7-1)^2 + (4-2)^2, which is the square root of 40. Squaring this gives the area of the square, which is 40.",20,34,40,\sqrt{40},A
"On her previous five attempts Sarah had achieved times, in seconds, of 86, 94, 97, 88 and 96, for swimming 50 meters. After her sixth try she brought her median time down to 92 seconds. What was her time, in seconds, for her sixth attempt?","Let's reason step by step. To get a median of 92, we need the sum of all six times to be 92 multiplied by 6, which is 552. Adding the sixth time should bring the sum to this value.",92,90,87,10,B
"Suppose 5 different integers are randomly chosen from between 20 and 69, inclusive. What is the probability that they each have a different tens digit?","Let's reason step by step. There are 5 different tens digits from 2 to 6. Choosing any of these for each of the 5 integers gives a probability of 1/4 for each choice, so the total probability is (1/4)^5.",\frac{1}{4},\frac{1}{3},\frac{1000}{52969},\frac{2500}{52969},D
Simplify $\frac{k-3}{2} + 3k+1+\frac{3k+1}{2}$.,"Let's reason step by step. Since all terms have a denominator of 2, we can cancel them out. Then, we can combine the k terms and the constant terms to get 3k.",3k+1,5k,3k,1,B
"If I roll 5 standard 6-sided dice and multiply the number on the face of each die, what is the probability that the result is a composite number?","Let's reason step by step. The only way to get a prime number as the product is if all five dice show 2, 3, or 5. The probability of this is (3/6)^5, which simplifies to 16/7776.",\frac{485}{486},\frac{16}{7776},\frac{4}{7776},\frac{2}{7776},A
The longest side of a triangle is 10. Which of the following could NOT be the lengths of the other two sides?,"Let's reason step by step. According to the triangle inequality theorem, the sum of any two sides of a triangle must be greater than the third side. So, the sum of the two shorter sides must be greater than 20, which eliminates option D.","4, 7","5, 5","3, 9","9, 8",B
